version,perClass Mira 4.2.7 (26-jun-2023),,,,Object location,,Fixed by image regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
format,feature extraction,,,,What is represented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Mean spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image,Object,Bounding box,,,,Region,,Content,,band index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
name,name,Column,Row,Width,Height,class,,present,pixels,wavelength,350,354,358,362,366,370,374,378,382,386,390,394,398,402,406,410,414,418,422,426,430,434,438,442,446,450,454,458,462,466,470,474,478,482,486,490,494,498,502,506,510,514,518,522,526,530,534,538,542,546,550,554,558,562,566,570,574,578,582,586,590,594,598,602,606,610,614,618,622,626,630,634,638,642,646,650,654,658,662,666,670,674,678,682,686,690,694,698,702,706,710,714,718,722,726,730,734,738,742,746,750,754,758,762,766,770,774,778,782,786,790,794,798,802,806,810,814,818,822,826,830,834,838,842,846,850,854,858,862,866,870,874,878,882,886,890,894,898,902,906,910,914,918,922,926,930,934,938,942,946,950,954,958,962,966,970,974,978,982,986,990,994,998,1002
../Pablo_Day_3/pablo_2_4_2024-12-10_13-37-22,black,175,4,9,13,black patch,,TRUE,117,,2102.976318,1455.171753,1283.479858,1212.588013,708.1599121,204.7287598,16.03454018,8.389886856,2.406966448,1.223036766,0.821054697,0.585184097,0.474161536,0.39352569,0.351311296,0.319261193,0.269082904,0.273301989,0.253454983,0.252099901,0.24976334,0.232236415,0.256172329,0.234744057,0.22271876,0.238927826,0.276148677,0.252078772,0.235134378,0.227411941,0.216870233,0.20262225,0.194267556,0.175556928,0.169508547,0.164749905,0.158468723,0.150813952,0.147797599,0.148144528,0.149194226,0.152164325,0.155053094,0.156425685,0.158369392,0.160847291,0.169451669,0.178044781,0.187282011,0.196374521,0.193054959,0.174447298,0.158221021,0.155360296,0.155792788,0.1533259,0.149679407,0.146065146,0.14245531,0.138971597,0.136144981,0.134498924,0.132885575,0.133466408,0.137618035,0.14076519,0.141199112,0.141722202,0.143104598,0.144407406,0.146962106,0.159223586,0.172505856,0.181701556,0.186299786,0.191974327,0.197286502,0.202334195,0.208610043,0.206827506,0.202106699,0.196112633,0.186959714,0.179604456,0.172402307,0.165243626,0.160328567,0.157583952,0.15456444,0.133695215,0.126790389,0.14400284,0.153084993,0.151440844,0.138575003,0.12869221,0.127388999,0.131410167,0.143219307,0.142480284,0.139612272,0.135135442,0.135677159,0.145853415,0.156369448,0.159183323,0.158579618,0.155806765,0.14932698,0.144577995,0.14432849,0.148083553,0.150344178,0.149442896,0.148309574,0.149914011,0.156387717,0.164191455,0.166290447,0.166023552,0.167672843,0.177790985,0.200208351,0.21092163,0.202220336,0.196805,0.191929474,0.184139252,0.180023938,0.189530119,0.194065318,0.188193142,0.179727599,0.175587654,0.174479172,0.168591619,0.163410753,0.155012429,0.140147269,0.138726562,0.148316815,0.149359718,0.136359066,0.121240467,0.136100888,0.149873957,0.148881584,0.129993588,-0.028435122,-0.053404689,-0.240058407,-0.576722085,-1.239217162,-3.097840071,-7.004009724,12.21769238,5.308080673,9.705809593,19.15259552,40.31005478,967.2416382,-34.90431213,-12.60338593,-12.04370499
../Pablo_Day_3/pablo_2_4_2024-12-10_13-37-22,blue,406,436,9,9,blue patches,,TRUE,81,,-1.458915114,-0.836518288,-0.709126353,-0.626277804,-0.366742969,-0.108952418,0.000588026,0.005130717,0.054171275,0.047743235,0.072507493,0.107765071,0.1275969,0.112144597,0.101863958,0.092796899,0.078753963,0.070041716,0.064009957,0.057120502,0.070731856,0.074665181,0.094045117,0.107241847,0.111969359,0.124743678,0.151558608,0.16328983,0.172585279,0.184447423,0.205312476,0.218829736,0.241691455,0.255673945,0.266060054,0.286376834,0.303943366,0.318932921,0.338217974,0.359318018,0.373819381,0.388139546,0.401426733,0.400756568,0.397718728,0.392022043,0.385038406,0.378123581,0.373748541,0.370133638,0.36665222,0.361250341,0.358198434,0.359649122,0.362184942,0.362401068,0.36273396,0.363052964,0.360936284,0.357908726,0.352918088,0.347491503,0.341897428,0.336985379,0.332703203,0.332354158,0.328357518,0.327017039,0.332294822,0.339113384,0.343654513,0.352072358,0.366244227,0.375583917,0.376408488,0.372721851,0.369983703,0.361947119,0.356067419,0.357400179,0.362557799,0.36529845,0.367395908,0.373236477,0.37661323,0.379859895,0.38304013,0.380518138,0.377607703,0.371127248,0.330381393,0.340396941,0.358535498,0.352473021,0.346708447,0.326356739,0.317248702,0.31343773,0.332524806,0.329807937,0.33614254,0.342917204,0.348932266,0.354925007,0.361090094,0.371913582,0.377850235,0.38021946,0.37515378,0.372558475,0.365478724,0.360402793,0.355932713,0.351846129,0.348385185,0.337076634,0.335092306,0.339655966,0.347908288,0.354355484,0.354821175,0.353370726,0.371787876,0.404990315,0.399805099,0.394405812,0.390907735,0.376338691,0.368332326,0.37303853,0.364463061,0.339574456,0.317760587,0.314508498,0.312610507,0.332764208,0.345252842,0.346714169,0.355046511,0.368818969,0.377807796,0.359862208,0.342382818,0.330887616,0.326801777,0.29109183,0.285965115,0.29963997,0.176661804,-0.053404633,-0.240058169,1.071248174,10.6977663,40.1439743,50.5380249,-33.77083969,4.507980347,8.066067696,19.15259743,40.31005096,967.241333,-34.90431976,-12.60338116,-12.04370499
../Pablo_Day_3/pablo_2_4_2024-12-10_13-37-22,yellow/orange,358,218,16,20,yelloworange patch,,TRUE,320,,-1.458917022,-0.836517632,-0.709125161,-0.626278102,-0.260354638,-0.078606211,0.052239936,0.070474006,0.079493575,0.074205749,0.081540257,0.112814739,0.130255446,0.176014483,0.21399191,0.254131526,0.287139982,0.307374448,0.332892746,0.339058697,0.369472682,0.373254329,0.389637202,0.414509445,0.420365423,0.435237974,0.495308459,0.543623388,0.534736097,0.525167406,0.517337501,0.501351535,0.486146063,0.472021908,0.456685036,0.440648228,0.424886912,0.411912292,0.399360955,0.388338953,0.387036264,0.406275481,0.424607962,0.467109025,0.515443742,0.560517669,0.600310087,0.638198793,0.667525053,0.6921404,0.713829398,0.728274524,0.745611846,0.766551852,0.785893261,0.791341484,0.787589788,0.783941686,0.781497777,0.779298902,0.779076934,0.775988579,0.773035467,0.773958027,0.776749551,0.776092768,0.769495487,0.763389409,0.7597211,0.758234918,0.75490731,0.744800329,0.731270254,0.717677891,0.7037099,0.690860093,0.68036437,0.669335186,0.656743765,0.64437598,0.652471423,0.671153367,0.687537074,0.686245263,0.687243521,0.686342478,0.684142053,0.680573404,0.64837873,0.616293192,0.605516076,0.596963048,0.603284061,0.625593126,0.649841011,0.695061386,0.701355636,0.691644132,0.653653026,0.64433378,0.637118876,0.634438515,0.63737458,0.643098056,0.642051816,0.631245315,0.627611458,0.625706375,0.626549244,0.630095422,0.640700698,0.639796972,0.633595645,0.623735964,0.621412396,0.631202638,0.627865255,0.614957392,0.603476703,0.599231303,0.602001727,0.605418921,0.595233679,0.560992181,0.581241488,0.601828754,0.604419768,0.611344576,0.610409856,0.596599698,0.591457725,0.593760073,0.593019664,0.586166024,0.590056181,0.601192176,0.594105184,0.598879695,0.591995895,0.579477727,0.564056516,0.551795542,0.539832771,0.505917549,0.435768694,0.377936572,0.355706155,0.224626943,0.289549083,0.545536399,0.499027461,1.027672887,-0.710445523,-1.245509267,6.941521645,-18.97976685,-5.628208637,-8.556815147,-11.98440838,-17.65076256,184.6229706,-9.060878754,-11.29986572,-12.04370308
../Pablo_Day_3/pablo_2_4_2024-12-10_13-37-22,white,407,277,22,50,white patch,,TRUE,1100,,-0.67627883,-0.370451659,-0.478014916,-0.411031634,-0.304841965,-0.091297306,0.013821801,0.053212214,0.261976779,0.313803852,0.352853239,0.423732311,0.459562927,0.482822329,0.493361443,0.520068765,0.529027164,0.534449697,0.552785516,0.543339133,0.562930465,0.526202202,0.537434042,0.52786684,0.51157546,0.507046878,0.56491673,0.595614552,0.604658842,0.615452707,0.636940002,0.639462531,0.649938583,0.646983624,0.64011997,0.638954461,0.64048636,0.642773747,0.640737176,0.642609239,0.644923568,0.649544358,0.653445005,0.651768923,0.647813976,0.645602405,0.644505143,0.643088639,0.634265959,0.622214675,0.611086071,0.605965853,0.604442656,0.613059163,0.613800049,0.603842258,0.603220582,0.602626741,0.606460154,0.614806235,0.624004722,0.625681937,0.627437711,0.629939437,0.632858217,0.633249044,0.627021551,0.621241987,0.619977534,0.621530116,0.61905551,0.616356254,0.614893138,0.61248672,0.609175146,0.602726638,0.599002719,0.591424763,0.58450675,0.578971922,0.581066489,0.581730127,0.57987988,0.581650913,0.584518075,0.581739366,0.579882503,0.577962339,0.575415015,0.574579477,0.563515723,0.541412294,0.561871827,0.558316886,0.55551213,0.562761068,0.552242994,0.541039348,0.526324391,0.51389122,0.506067038,0.50162518,0.501695812,0.499956489,0.491700888,0.476073891,0.471540183,0.468496591,0.467002779,0.466133267,0.471137434,0.475888014,0.476761043,0.476183861,0.481419295,0.496162951,0.492225289,0.487022221,0.483983278,0.488163888,0.494932741,0.495492011,0.484182298,0.47404319,0.467959493,0.465174377,0.471856207,0.47449109,0.466449589,0.463156343,0.478425801,0.481063694,0.463775128,0.453401923,0.45023793,0.435992688,0.447736561,0.447964162,0.439364225,0.429461539,0.421198159,0.410863936,0.388641715,0.355214238,0.310338408,0.27252382,0.154174268,0.077584736,0.105047867,0.10580273,0.208924145,0.384748608,0.76050216,0.52720207,-3.0372715,6.799440384,1.890956998,0.166969687,-1.708331585,18.53071785,780.9710693,-26.446455,-12.60346031,-12.04386997
